vendor,model,condition,Model,Condition,fleiss_kappa,complete_trials,expected_repeats,fully_consistent_trials,fully_consistent_pct,disagreement_trials,disagreement_pct,disagreement_with_invalid,disagreement_with_invalid_pct_of_disagreements,disagreement_with_unclear,disagreement_with_unclear_pct_of_disagreements,disagreement_with_label_flip,disagreement_with_label_flip_pct_of_disagreements,primary_invalid_driver,primary_unclear_driver,primary_label_flip_driver,invalid_output_rows,unclear_output_rows,top_disagreement_patterns
openai,gpt-5.2-2025-12-11,baseline,GPT-5.2,Baseline,0.9692312200553839,200,3,193,96.5,7,3.5000000000000004,0,0.0,7,100.0,0,0.0,0,7,0,0,83,BOTH/UNCLEAR/UNCLEAR:3; BOTH/BOTH/UNCLEAR:1; LOCALIZED/UNCLEAR/UNCLEAR:1
openai,gpt-5.2-2025-12-11,evidence_required,GPT-5.2,Evidence Required,0.9672841480792161,200,3,193,96.5,7,3.5000000000000004,0,0.0,4,57.14285714285714,4,57.14285714285714,0,4,3,0,94,BOTH/METASTATIC/UNCLEAR:1; BOTH/BOTH/METASTATIC:1; BOTH/METASTATIC/METASTATIC:1
gemini,gemini-3-flash-preview,baseline,Gemini 3 Flash,Baseline,0.8912607582441309,200,3,177,88.5,23,11.5,9,39.130434782608695,1,4.3478260869565215,14,60.86956521739131,9,1,13,9,1,BOTH/METASTATIC/METASTATIC:5; BOTH/BOTH/METASTATIC:4; BOTH/BOTH/INVALID:4
gemini,gemini-3-flash-preview,evidence_required,Gemini 3 Flash,Evidence Required,0.828971236071521,200,3,162,81.0,38,19.0,27,71.05263157894737,5,13.157894736842104,8,21.052631578947366,27,4,7,30,13,INVALID/LOCALIZED/LOCALIZED:11; BOTH/BOTH/INVALID:8; BOTH/METASTATIC/METASTATIC:3
anthropic,claude-opus-4-5-20251101,baseline,Claude Opus 4.5,Baseline,0.9050119700362962,200,3,180,90.0,20,10.0,1,5.0,7,35.0,12,60.0,1,7,12,1,23,BOTH/METASTATIC/METASTATIC:6; BOTH/BOTH/METASTATIC:4; BOTH/UNCLEAR/UNCLEAR:2
anthropic,claude-opus-4-5-20251101,evidence_required,Claude Opus 4.5,Evidence Required,0.9284516134161174,200,3,185,92.5,15,7.5,0,0.0,5,33.33333333333333,10,66.66666666666666,0,5,10,0,33,BOTH/METASTATIC/METASTATIC:3; NEITHER/UNCLEAR/UNCLEAR:2; BOTH/BOTH/METASTATIC:2
