vendor,model,n_paired_trials,baseline_trial_accuracy,baseline_trial_accuracy_ci_low,baseline_trial_accuracy_ci_high,evidence_trial_accuracy,evidence_trial_accuracy_ci_low,evidence_trial_accuracy_ci_high,both_correct,both_incorrect,baseline_only_correct,evidence_only_correct,discordant_total,mcnemar_chi2,mcnemar_p,mcnemar_chi2_cc,mcnemar_p_cc,mcnemar_p_exact
openai,gpt-5.2-2025-12-11,200,0.785,0.7280639739504656,0.8419360260495344,0.775,0.7171271055735702,0.8328728944264299,152,40,5,3,8,0.5,0.4795001221869535,0.125,0.7236736098317631,0.7265625
gemini,gemini-3-flash-preview,200,0.93,0.8946390774139598,0.9653609225860403,0.91,0.8703379603767754,0.9496620396232247,176,8,10,6,16,1.0,0.317310507862914,0.5625,0.4532547047537364,0.454498291015625
anthropic,claude-opus-4-5-20251101,200,0.785,0.7280639739504656,0.8419360260495344,0.725,0.6631174155203626,0.7868825844796373,142,40,15,3,18,8.0,0.0046777349810472645,6.722222222222222,0.009521891184098847,0.007537841796875
