Model,Condition,Coverage [%],Unclear [%],Invalid [%],Macro F1,Fleiss' kappa,With quote [%],With mechanically valid quote [%],Macro F1 (mechanically-valid only),Correct and mechanically-valid [%],Citation Jaccard
GPT-5.2,Baseline,86.16666666666667,13.833333333333334,0.0,0.9104541227258094,0.9692312200553839,,,,,
GPT-5.2,Evidence Required,84.33333333333334,15.666666666666668,0.0,0.9161643755168669,0.9672841480792161,84.33333333333334,83.33333333333334,0.9166312918473859,77.0,0.8962505216363154
Gemini 3 Flash,Baseline,98.33333333333333,0.16666666666666669,1.5,0.933471500007008,0.8912607582441309,,,,,
Gemini 3 Flash,Evidence Required,92.83333333333333,2.166666666666667,5.0,0.9448392959015799,0.828971236071521,93.83333333333333,91.16666666666666,0.9456545072339835,86.16666666666667,0.6638965142244938
Claude Opus 4.5,Baseline,96.0,3.833333333333333,0.16666666666666669,0.827571097883598,0.9050119700362962,,,,,
Claude Opus 4.5,Evidence Required,94.5,5.5,0.0,0.7772740180410636,0.9284516134161174,94.5,91.16666666666666,0.7744663680117756,70.83333333333334,0.8967566464418173
